,Question,History8,Rewrite
182,How can I help?,"I’d like to learn more about frogs. What’s the biggest one? |  |  | The IUCN has highlighted the need for conservation measures, in cooperation with local communities, to make sure the hunting is at sustainable levels | Has the Equatorial Guinean government's conservation measures to protect Goliath frogs been effective? |  Learn more SALAMANDERS IN CRISIS! An Overview of Why Salamander Conservation is Needed A Prince Becomes a Frog: The Prince Charles Frog Many Thanks, and a Red-Eyed Tree Frog for You! Frog Facts Everyone Should Know This entry was posted in Deforestation and frogs, Frogs and the Rainforest, Learn about Frogs and tagged African frogs, biggest frog on earth, Conraua goliath, earth's biggest frog, endangered frogs, giant frog, gigantic frogs, goliath frog, International Union for Conservation of Nature, IUCN, Rainforest Frogs, world's biggest frog",How can I help with protecting Goliath frogs?
183,"Okay, that’s the biggest.  What is the smallest?","I’d like to learn more about frogs. What’s the biggest one? |  |  |  | Has the Equatorial Guinean government's conservation measures to protect Goliath frogs been effective? |  Learn more SALAMANDERS IN CRISIS! An Overview of Why Salamander Conservation is Needed A Prince Becomes a Frog: The Prince Charles Frog Many Thanks, and a Red-Eyed Tree Frog for You! Frog Facts Everyone Should Know This entry was posted in Deforestation and frogs, Frogs and the Rainforest, Learn about Frogs and tagged African frogs, biggest frog on earth, Conraua goliath, earth's biggest frog, endangered frogs, giant frog, gigantic frogs, goliath frog, International Union for Conservation of Nature, IUCN, Rainforest Frogs, world's biggest frog | How can I help with protecting Goliath frogs? |  There is hope that the number of them will increase but it is going to take time, money, and plenty of people willing to commit their time the cause",What is the smallest frog?
184,Why would leaf litter affect its size?,"I’d like to learn more about frogs. What’s the biggest one? |  |  |  |  |  Learn more SALAMANDERS IN CRISIS! An Overview of Why Salamander Conservation is Needed A Prince Becomes a Frog: The Prince Charles Frog Many Thanks, and a Red-Eyed Tree Frog for You! Frog Facts Everyone Should Know This entry was posted in Deforestation and frogs, Frogs and the Rainforest, Learn about Frogs and tagged African frogs, biggest frog on earth, Conraua goliath, earth's biggest frog, endangered frogs, giant frog, gigantic frogs, goliath frog, International Union for Conservation of Nature, IUCN, Rainforest Frogs, world's biggest frog | How can I help with protecting Goliath frogs? |  There is hope that the number of them will increase but it is going to take time, money, and plenty of people willing to commit their time the cause | What is the smallest frog? |  Presenting the new species in PLo S One journal, they suggest the frogs' tiny scale is linked to their habitat, in leaf litter on the forest floor",Why would leaf litter affect the size of a frog?
185,I want to go on vacation somewhere in Europe with good food. What are some beautiful places?,,I want to go on vacation somewhere in Europe with good food. What are some beautiful places?
186,"Yes, it'll be my first time. Where should I consider?","I want to go on vacation somewhere in Europe with good food. What are some beautiful places? |  If renting a car isn’t an option, ask your concierge to recommend a driver for side trips or book day tours through a company such as City Wonders or Viator","Yes, it'll be my first time in Europe. Where should I consider visiting in Italy?"
187,What should I not miss on the Coast?,"I want to go on vacation somewhere in Europe with good food. What are some beautiful places? |  | Yes, it'll be my first time in Europe. Where should I consider visiting in Italy? |  You can easily get punch-drunk on its splendors, from Bernini’s sublime statues to the Amalfi Coast’s majestic cliffs",What should I not miss on the Amalfi Coast?
188,What food is it known for?,"I want to go on vacation somewhere in Europe with good food. What are some beautiful places? |  |  |  You can easily get punch-drunk on its splendors, from Bernini’s sublime statues to the Amalfi Coast’s majestic cliffs | What should I not miss on the Amalfi Coast? |  Today, it attracts travelers in search of fine food, eye-popping scenery and weather that’s nothing short of sublime",What food is the Amalfi known for?
189,Duomo?  What’s that?,"I want to go on vacation somewhere in Europe with good food. What are some beautiful places? |  |  |  | What should I not miss on the Amalfi Coast? |  Today, it attracts travelers in search of fine food, eye-popping scenery and weather that’s nothing short of sublime | What food is the Amalfi known for? | ",What is the Duomo on the Amalfi Coast?
190,Cool!  What kinds of innovations?,"I want to go on vacation somewhere in Europe with good food. What are some beautiful places? |  |  |  |  |  Today, it attracts travelers in search of fine food, eye-popping scenery and weather that’s nothing short of sublime | What food is the Amalfi known for? |  | What is the Duomo on the Amalfi Coast? |  One popular way to do this was by constructing massive buildings that required lots of money, manpower, and technological innovation",What were the technological innovations in Italian cathedrals or catholic churches (the Duomo)?
191,Why is it important to reduce runoff in urban areas?,,Why is it important to reduce runoff in urban areas?
192,What practices could I use at home to help?,Why is it important to reduce runoff in urban areas? |  A variety of stormwater management practices and systems may be used to reduce the effects of urban runoff,What best management practices could I use at home to reduce runoff?
193,Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider?,Why is it important to reduce runoff in urban areas? |  | What best management practices could I use at home to reduce runoff? |  Examples New York City Rain Barrel Giveaway Program Arizona Municipal Water Users Association Top of Page Rain Gardens A rain garden can be beautiful as well as functional,Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider when picking a rain barrel?
194,I live in Seattle and have a big lawn. How big should it be? How much can I save?,"Why is it important to reduce runoff in urban areas? |  |  |  Examples New York City Rain Barrel Giveaway Program Arizona Municipal Water Users Association Top of Page Rain Gardens A rain garden can be beautiful as well as functional | Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider when picking a rain barrel? |  Collection rates vary depending on the slope and size of the roof, but for estimation purposes, during a 1-inch rainfall you can collect a little over half a gallon for each square foot of roof",How much rainwater can I collect with a rain barrel?
195,That sounds like a lot of water. How big are normal barrels? And what material should I get? What are the pros and cons of different materials?,"Why is it important to reduce runoff in urban areas? |  |  |  | Maybe I could collect it for my garden. I’d like to learn more about using a barrel.  What should I consider when picking a rain barrel? |  Collection rates vary depending on the slope and size of the roof, but for estimation purposes, during a 1-inch rainfall you can collect a little over half a gallon for each square foot of roof | How much rainwater can I collect with a rain barrel? |  This formula will give a rough estimate of how much rain you can catch: Rain caught (gallons) = (inches of rain) x 0",What are the pros and cons of different rain barrel materials?
196,Is it safe to use on my garden?,"Why is it important to reduce runoff in urban areas? |  |  |  |  |  Collection rates vary depending on the slope and size of the roof, but for estimation purposes, during a 1-inch rainfall you can collect a little over half a gallon for each square foot of roof | How much rainwater can I collect with a rain barrel? |  This formula will give a rough estimate of how much rain you can catch: Rain caught (gallons) = (inches of rain) x 0 | What are the pros and cons of different rain barrel materials? |  The different rain barrels materials include: Plastic or polyethylene One of the more popular options Its lightweight and cheap Tends to fall apart in the outdoors so it needs to be stored where there is enough UV protection Can be found in all shapes and colors Stone or ceramic clay Great for catching small amount of rain Very decorative and great for small gardens Can be difficult to install Wood Gives your home a rustic feel Water cannot be contaminated with BPAMore expensive than plastic Has a heavier catchment system Can be purchased in beech wood, hickory, oak and cedar Metal Great for large rain storage Can use flexible membrane liners Is used for more permanent rain storage Not as attractive for residential use Storing Rain Water In regions where drought is a common occurrence, water storage tanks can be a great investment",Is the collected water from a rain barrel safe enough to water my garden?
197,What else should I consider when installing it?,"Why is it important to reduce runoff in urban areas? |  |  |  |  |  | How much rainwater can I collect with a rain barrel? |  This formula will give a rough estimate of how much rain you can catch: Rain caught (gallons) = (inches of rain) x 0 | What are the pros and cons of different rain barrel materials? |  The different rain barrels materials include: Plastic or polyethylene One of the more popular options Its lightweight and cheap Tends to fall apart in the outdoors so it needs to be stored where there is enough UV protection Can be found in all shapes and colors Stone or ceramic clay Great for catching small amount of rain Very decorative and great for small gardens Can be difficult to install Wood Gives your home a rustic feel Water cannot be contaminated with BPAMore expensive than plastic Has a heavier catchment system Can be purchased in beech wood, hickory, oak and cedar Metal Great for large rain storage Can use flexible membrane liners Is used for more permanent rain storage Not as attractive for residential use Storing Rain Water In regions where drought is a common occurrence, water storage tanks can be a great investment | Is the collected water from a rain barrel safe enough to water my garden? |  Texas Manual on Rainwater Harvesting (pdf) - The standard reference for professionals on designing rainwater harvesting, storage, and reuse systems",What else should I consider when installing a rain barrel?
198,You also mentioned rain gardens earlier. How do they compare?,"Why is it important to reduce runoff in urban areas? |  |  |  |  |  |  |  This formula will give a rough estimate of how much rain you can catch: Rain caught (gallons) = (inches of rain) x 0 | What are the pros and cons of different rain barrel materials? |  The different rain barrels materials include: Plastic or polyethylene One of the more popular options Its lightweight and cheap Tends to fall apart in the outdoors so it needs to be stored where there is enough UV protection Can be found in all shapes and colors Stone or ceramic clay Great for catching small amount of rain Very decorative and great for small gardens Can be difficult to install Wood Gives your home a rustic feel Water cannot be contaminated with BPAMore expensive than plastic Has a heavier catchment system Can be purchased in beech wood, hickory, oak and cedar Metal Great for large rain storage Can use flexible membrane liners Is used for more permanent rain storage Not as attractive for residential use Storing Rain Water In regions where drought is a common occurrence, water storage tanks can be a great investment | Is the collected water from a rain barrel safe enough to water my garden? |  Texas Manual on Rainwater Harvesting (pdf) - The standard reference for professionals on designing rainwater harvesting, storage, and reuse systems | What else should I consider when installing a rain barrel? |  Using a Rain Barrel The water you collect in a rain barrel is untreated",You mentioned rain gardens earlier. How do they compare to rain barrels?
199,I’ll try the garden too. What are some native plants for my area that I could use?,"Why is it important to reduce runoff in urban areas? |  |  |  |  |  |  |  | What are the pros and cons of different rain barrel materials? |  The different rain barrels materials include: Plastic or polyethylene One of the more popular options Its lightweight and cheap Tends to fall apart in the outdoors so it needs to be stored where there is enough UV protection Can be found in all shapes and colors Stone or ceramic clay Great for catching small amount of rain Very decorative and great for small gardens Can be difficult to install Wood Gives your home a rustic feel Water cannot be contaminated with BPAMore expensive than plastic Has a heavier catchment system Can be purchased in beech wood, hickory, oak and cedar Metal Great for large rain storage Can use flexible membrane liners Is used for more permanent rain storage Not as attractive for residential use Storing Rain Water In regions where drought is a common occurrence, water storage tanks can be a great investment | Is the collected water from a rain barrel safe enough to water my garden? |  Texas Manual on Rainwater Harvesting (pdf) - The standard reference for professionals on designing rainwater harvesting, storage, and reuse systems | What else should I consider when installing a rain barrel? |  Using a Rain Barrel The water you collect in a rain barrel is untreated | You mentioned rain gardens earlier. How do they compare to rain barrels? | About Rain Garden Network The Rain Garden Network was started in 2003 with the intention of bringing simple, proven and inexpensive solutions for local storm water issues to individual…Read More What is a Rain Garden? By definition, a rain garden is a shallow depression that is planted with deep-rooted native plants and grasses",I’ll try the rain garden too. What are some native plants for the Seattle areas that I could use?
200,What’s the science behind why we drink alcohol?,,What’s the science behind why we drink alcohol?
201,What are the causes of it?,"What’s the science behind why we drink alcohol? |  According to results from the 2001-2002 National Epidemiologic Survey on Alcohol and Related Conditions (NESARC), alcoholism affects men more than women: About 10 percent of men, compared to 3 to 5 percent of women, become alcoholics over the course of their lifetime",What are the causes of alcoholism?
202,Who is at high risk?,What’s the science behind why we drink alcohol? |  | What are the causes of alcoholism? |  The priorities are shuffled so that finding and using the substance (or another substance that will produce similar effects) becomes top priority as far as the brain is concerned,Who is at high risk for alcohol addiction?
203,What is a safe amount to drink daily?,"What’s the science behind why we drink alcohol? |  |  |  The priorities are shuffled so that finding and using the substance (or another substance that will produce similar effects) becomes top priority as far as the brain is concerned | Who is at high risk for alcohol addiction? | “We have become more aware of the developing nature of the adolescent brain, particularly the frontal lobe areas of the brain, which are involved in decision-making and risk-taking behaviors, and how this affects teenagers’ behaviors and choices,” says James Garbutt, MD, a professor of psychiatry at the University of North Carolina at Chapel Hill and a research scientist at the Bowles Center for Alcohol Studies",What is a safe amount of alcohol to drink daily?
204,What do the guidelines say for pregnant women? Why?,"What’s the science behind why we drink alcohol? |  |  |  | Who is at high risk for alcohol addiction? | “We have become more aware of the developing nature of the adolescent brain, particularly the frontal lobe areas of the brain, which are involved in decision-making and risk-taking behaviors, and how this affects teenagers’ behaviors and choices,” says James Garbutt, MD, a professor of psychiatry at the University of North Carolina at Chapel Hill and a research scientist at the Bowles Center for Alcohol Studies | What is a safe amount of alcohol to drink daily? |  guidelines that say men can safely drink twice as much as women",What do the U.S government guidelines say about pregnant women drinking alcoholic beverages? Why?
205,But I’ve heard that pregnant women in France drink wine with dinner. Is that true?,"What’s the science behind why we drink alcohol? |  |  |  |  | “We have become more aware of the developing nature of the adolescent brain, particularly the frontal lobe areas of the brain, which are involved in decision-making and risk-taking behaviors, and how this affects teenagers’ behaviors and choices,” says James Garbutt, MD, a professor of psychiatry at the University of North Carolina at Chapel Hill and a research scientist at the Bowles Center for Alcohol Studies | What is a safe amount of alcohol to drink daily? |  guidelines that say men can safely drink twice as much as women | What do the U.S government guidelines say about pregnant women drinking alcoholic beverages? Why? | ”“For these reasons: A pregnant woman should not drink alcohol during pregnancy;A pregnant woman who has already consumed alcohol during pregnancy should stop in order to minimize further risk;A woman who is considering becoming pregnant should abstain from alcohol",But I’ve heard that pregnant women in France drink wine with dinner. Is that true?
206,So you mean that the US suggestion may be too strict? What is the French government's attitude?,"What’s the science behind why we drink alcohol? |  |  |  |  |  | What is a safe amount of alcohol to drink daily? |  guidelines that say men can safely drink twice as much as women | What do the U.S government guidelines say about pregnant women drinking alcoholic beverages? Why? | ”“For these reasons: A pregnant woman should not drink alcohol during pregnancy;A pregnant woman who has already consumed alcohol during pregnancy should stop in order to minimize further risk;A woman who is considering becoming pregnant should abstain from alcohol | But I’ve heard that pregnant women in France drink wine with dinner. Is that true? |  This would surprise many American moms, but not Europeans; 2008 study published in the journal Alcoholism: Clinical and Experimental Research said more than 50 percent of French women drank at least once during their pregnancy, compared to only 12 percent of American women",So you mean that the US suggestion which prohibits pregnant women from drinking alcohol may be too strict? What is the French government's attitude towards pregnant women drinking?
207,Tell me about the findings from the Lancet study you mentioned. What advice did it give for safety?,"What’s the science behind why we drink alcohol? |  |  |  |  |  |  |  guidelines that say men can safely drink twice as much as women | What do the U.S government guidelines say about pregnant women drinking alcoholic beverages? Why? | ”“For these reasons: A pregnant woman should not drink alcohol during pregnancy;A pregnant woman who has already consumed alcohol during pregnancy should stop in order to minimize further risk;A woman who is considering becoming pregnant should abstain from alcohol | But I’ve heard that pregnant women in France drink wine with dinner. Is that true? |  This would surprise many American moms, but not Europeans; 2008 study published in the journal Alcoholism: Clinical and Experimental Research said more than 50 percent of French women drank at least once during their pregnancy, compared to only 12 percent of American women | So you mean that the US suggestion which prohibits pregnant women from drinking alcohol may be too strict? What is the French government's attitude towards pregnant women drinking? |  and France, that once gave less stringent advice–pregnant women should not exceed 1-2 drinks per week– now state no amount of drinking is safe, and that women who are pregnant or trying to conceive should abstain entirely",Tell me about the findings from the Lancet study you mentioned. What did  advise on safe consumption levels of alcohol?
208,I’d like to stop. What are some treatment options?,"What’s the science behind why we drink alcohol? |  |  |  |  |  |  |  | What do the U.S government guidelines say about pregnant women drinking alcoholic beverages? Why? | ”“For these reasons: A pregnant woman should not drink alcohol during pregnancy;A pregnant woman who has already consumed alcohol during pregnancy should stop in order to minimize further risk;A woman who is considering becoming pregnant should abstain from alcohol | But I’ve heard that pregnant women in France drink wine with dinner. Is that true? |  This would surprise many American moms, but not Europeans; 2008 study published in the journal Alcoholism: Clinical and Experimental Research said more than 50 percent of French women drank at least once during their pregnancy, compared to only 12 percent of American women | So you mean that the US suggestion which prohibits pregnant women from drinking alcohol may be too strict? What is the French government's attitude towards pregnant women drinking? |  and France, that once gave less stringent advice–pregnant women should not exceed 1-2 drinks per week– now state no amount of drinking is safe, and that women who are pregnant or trying to conceive should abstain entirely | Tell me about the findings from the Lancet study you mentioned. What did  advise on safe consumption levels of alcohol? |  That’s the simple, surprising conclusion of a massive study, co-written by 512 researchers from 243 institutions, published Thursday in the prestigious journal the Lancet",I’d like to stop. What are some treatment options for alcoholism?
209,"No, I meant drinking alcohol. What are some rehab treatment options to consider?","What’s the science behind why we drink alcohol? |  |  |  |  |  |  |  |  | ”“For these reasons: A pregnant woman should not drink alcohol during pregnancy;A pregnant woman who has already consumed alcohol during pregnancy should stop in order to minimize further risk;A woman who is considering becoming pregnant should abstain from alcohol | But I’ve heard that pregnant women in France drink wine with dinner. Is that true? |  This would surprise many American moms, but not Europeans; 2008 study published in the journal Alcoholism: Clinical and Experimental Research said more than 50 percent of French women drank at least once during their pregnancy, compared to only 12 percent of American women | So you mean that the US suggestion which prohibits pregnant women from drinking alcohol may be too strict? What is the French government's attitude towards pregnant women drinking? |  and France, that once gave less stringent advice–pregnant women should not exceed 1-2 drinks per week– now state no amount of drinking is safe, and that women who are pregnant or trying to conceive should abstain entirely | Tell me about the findings from the Lancet study you mentioned. What did  advise on safe consumption levels of alcohol? |  That’s the simple, surprising conclusion of a massive study, co-written by 512 researchers from 243 institutions, published Thursday in the prestigious journal the Lancet | I’d like to stop. What are some treatment options for alcoholism? | Page contents Nicotine replacement therapy (NRT)Varenicline (Champix)Bupropion (Zyban)E-cigarettes If you want to stop smoking, several different treatments are available from shops, pharmacies and on prescription to help you beat your addiction and reduce withdrawal symptoms","No, I meant drinking alcohol. What are some alcohol rehab treatment options to consider?"
210,What are the mechanisms of depression?,,What are the mechanisms of depression?
211,What is the role of serotonin?,"What are the mechanisms of depression? |  Although the exact mechanism of action of trazodone is unknown, it probably improves symptoms of depression by inhibiting the uptake of serotonin by nerves in the brain",What is the role of serotonin in depression?
212,How can I balance it?,"What are the mechanisms of depression? |  | What is the role of serotonin in depression? |  Given this critical task, an imbalance in serotonin levels may influence our emotions",How can I balance serotonin?
213,What foods boost it?,"What are the mechanisms of depression? |  |  |  Given this critical task, an imbalance in serotonin levels may influence our emotions | How can I balance serotonin? |  Graziano Breuning, working on a goal without fail for 45 days will train your brain to stimulate dopamine production in a new way",What foods boost dopamine?
214,How does the phenylalanine convert to tyrosine?,"What are the mechanisms of depression? |  |  |  | How can I balance serotonin? |  Graziano Breuning, working on a goal without fail for 45 days will train your brain to stimulate dopamine production in a new way | What foods boost dopamine? |  Other foods that increase dopamine through the conversion of phenylalanine to tyrosine include almonds, apples, watermelons, cherries, yogurt, beans, eggs and meats",How does the phenylalanine convert to tyrosine?
215,Can these drugs alleviate depression?,"What are the mechanisms of depression? |  |  |  |  |  Graziano Breuning, working on a goal without fail for 45 days will train your brain to stimulate dopamine production in a new way | What foods boost dopamine? |  Other foods that increase dopamine through the conversion of phenylalanine to tyrosine include almonds, apples, watermelons, cherries, yogurt, beans, eggs and meats | How does the phenylalanine convert to tyrosine? |  Various stimulant drugs (such as a number of substituted amphetamines) are catecholamine analogues",Can stimulant drugs alleviate depression?
216,Does this theory explain the cause of depression?,"What are the mechanisms of depression? |  |  |  |  |  | What foods boost dopamine? |  Other foods that increase dopamine through the conversion of phenylalanine to tyrosine include almonds, apples, watermelons, cherries, yogurt, beans, eggs and meats | How does the phenylalanine convert to tyrosine? |  Various stimulant drugs (such as a number of substituted amphetamines) are catecholamine analogues | Can stimulant drugs alleviate depression? | Predictions from the Catecholamine Theory of Mood The catecholamine theory makes the following predictions: Drugs wich destroy CAs should produce depression Drugs which increase CAs should alleviate depression Drugs used to test the Catecholamine Theory of Mood You now have a body of knowledge that can be used to test the catecholamine theory of mood",Does the catecholamine theory explain the cause of depression?
217,Can a person have both at the same time?,"What are the mechanisms of depression? |  |  |  |  |  |  |  Other foods that increase dopamine through the conversion of phenylalanine to tyrosine include almonds, apples, watermelons, cherries, yogurt, beans, eggs and meats | How does the phenylalanine convert to tyrosine? |  Various stimulant drugs (such as a number of substituted amphetamines) are catecholamine analogues | Can stimulant drugs alleviate depression? | Predictions from the Catecholamine Theory of Mood The catecholamine theory makes the following predictions: Drugs wich destroy CAs should produce depression Drugs which increase CAs should alleviate depression Drugs used to test the Catecholamine Theory of Mood You now have a body of knowledge that can be used to test the catecholamine theory of mood | Does the catecholamine theory explain the cause of depression? |  They suggest that: Depression is associated with a catecholamine deficiency in the brain Mania is associated with a catecholamine excess in the brain This proved to be a very fruitful theory because it was put forward at a time when there was an explosion in our knowlegde about where neurotransmitters were located in the brain, and the discovery of chemicals that interfered with the manufacture and actions of various neurotransmitters in the brain",Can a person have mania and depression at the same time?
218,"No, I meant mania and depression.","What are the mechanisms of depression? |  |  |  |  |  |  |  | How does the phenylalanine convert to tyrosine? |  Various stimulant drugs (such as a number of substituted amphetamines) are catecholamine analogues | Can stimulant drugs alleviate depression? | Predictions from the Catecholamine Theory of Mood The catecholamine theory makes the following predictions: Drugs wich destroy CAs should produce depression Drugs which increase CAs should alleviate depression Drugs used to test the Catecholamine Theory of Mood You now have a body of knowledge that can be used to test the catecholamine theory of mood | Does the catecholamine theory explain the cause of depression? |  They suggest that: Depression is associated with a catecholamine deficiency in the brain Mania is associated with a catecholamine excess in the brain This proved to be a very fruitful theory because it was put forward at a time when there was an explosion in our knowlegde about where neurotransmitters were located in the brain, and the discovery of chemicals that interfered with the manufacture and actions of various neurotransmitters in the brain | Can a person have mania and depression at the same time? |  The following comparison helps to illuminate the similarities and differences between depression and anxiety","No, I meant mania and depression."
219,What are the types of bipolar?,"What are the mechanisms of depression? |  |  |  |  |  |  |  |  |  Various stimulant drugs (such as a number of substituted amphetamines) are catecholamine analogues | Can stimulant drugs alleviate depression? | Predictions from the Catecholamine Theory of Mood The catecholamine theory makes the following predictions: Drugs wich destroy CAs should produce depression Drugs which increase CAs should alleviate depression Drugs used to test the Catecholamine Theory of Mood You now have a body of knowledge that can be used to test the catecholamine theory of mood | Does the catecholamine theory explain the cause of depression? |  They suggest that: Depression is associated with a catecholamine deficiency in the brain Mania is associated with a catecholamine excess in the brain This proved to be a very fruitful theory because it was put forward at a time when there was an explosion in our knowlegde about where neurotransmitters were located in the brain, and the discovery of chemicals that interfered with the manufacture and actions of various neurotransmitters in the brain | Can a person have mania and depression at the same time? |  The following comparison helps to illuminate the similarities and differences between depression and anxiety | No, I meant mania and depression. | ’Major Depressive Disorders Major depressive disorder (often referred to as unipolar depression) contrasts with bipolar disorder, which is characterized by the occurrence of one or more manic or hypomanic episodes",What are the types of bipolar disorder?
220,Who are the greatest catchers of all time?,,Who are the greatest catchers of all time?
221,What was he known for?,"Who are the greatest catchers of all time? |  Yogi Berra, Roy Campanella and Pudge Rodriguez fans will disagree, but I have seen them all play",What was Johnny Bench known for?.
222,Who won his award?,"Who are the greatest catchers of all time? |  | What was Johnny Bench known for?. |  As part of the Golden Anniversary of the Rawlings Gold Glove Award, Bench was selected to the All-Time Rawlings Gold Glove Team",Who won the Johnny Bench Award?
223,Who was the next Rookie of the Year for the team after him?,"Who are the greatest catchers of all time? |  |  |  As part of the Golden Anniversary of the Rawlings Gold Glove Award, Bench was selected to the All-Time Rawlings Gold Glove Team | Who won the Johnny Bench Award? | Johnny Bench Johnny Lee Bench (born December 7, 1947) is an American former professional baseball catcher who played in the Major Leagues for the Cincinnati Reds from 1967 to 1983 and is a member of the National Baseball Hall of Fame",Who was the next Rookie of the Year for the Cincinnati Reds after Johnny Bench?
224,Did Bench make it into Cooperstown?,"Who are the greatest catchers of all time? |  |  |  | Who won the Johnny Bench Award? | Johnny Bench Johnny Lee Bench (born December 7, 1947) is an American former professional baseball catcher who played in the Major Leagues for the Cincinnati Reds from 1967 to 1983 and is a member of the National Baseball Hall of Fame | Who was the next Rookie of the Year for the Cincinnati Reds after Johnny Bench? |  Bench is a 14-time All-Star selection and a two-time National League Most Valuable Player",Did Johnny Lee Bench make it into Cooperstown?
225,Was he married?,"Who are the greatest catchers of all time? |  |  |  |  | Johnny Bench Johnny Lee Bench (born December 7, 1947) is an American former professional baseball catcher who played in the Major Leagues for the Cincinnati Reds from 1967 to 1983 and is a member of the National Baseball Hall of Fame | Who was the next Rookie of the Year for the Cincinnati Reds after Johnny Bench? |  Bench is a 14-time All-Star selection and a two-time National League Most Valuable Player | Did Johnny Lee Bench make it into Cooperstown? |  Three years earlier, Bench had been inducted into the Cincinnati Reds Hall of Fame in 1986 and his uniform #5 was retired by the team",Was Johnny Bench married?
226,I’d like to know about the first two marriages.,"Who are the greatest catchers of all time? |  |  |  |  |  | Who was the next Rookie of the Year for the Cincinnati Reds after Johnny Bench? |  Bench is a 14-time All-Star selection and a two-time National League Most Valuable Player | Did Johnny Lee Bench make it into Cooperstown? |  Three years earlier, Bench had been inducted into the Cincinnati Reds Hall of Fame in 1986 and his uniform #5 was retired by the team | Was Johnny Bench married? | Bench's third marriage, to Elizabeth Benton, took place in 1997, Johnny filed for divorce in 2000 on grounds of one too many people being involved with his wife, while his fourth marriage took place in 2004, to 31-year-old Lauren Baiocchi, the daughter of pro golfer Hugh Baiocchi",I’d like to know about Johnny Bench’s first two marriages.
227,Does Bobby play baseball?,"Who are the greatest catchers of all time? |  |  |  |  |  |  |  Bench is a 14-time All-Star selection and a two-time National League Most Valuable Player | Did Johnny Lee Bench make it into Cooperstown? |  Three years earlier, Bench had been inducted into the Cincinnati Reds Hall of Fame in 1986 and his uniform #5 was retired by the team | Was Johnny Bench married? | Bench's third marriage, to Elizabeth Benton, took place in 1997, Johnny filed for divorce in 2000 on grounds of one too many people being involved with his wife, while his fourth marriage took place in 2004, to 31-year-old Lauren Baiocchi, the daughter of pro golfer Hugh Baiocchi | I’d like to know about Johnny Bench’s first two marriages. |  ""He was, and is, a great dad,"" according to Bobby, who works in Cincinnati as a production operator on Reds broadcasts",Does Bobby Binger Bench play baseball?
228,Interesting. How old was he when they got divorced?,"Who are the greatest catchers of all time? |  |  |  |  |  |  |  | Did Johnny Lee Bench make it into Cooperstown? |  Three years earlier, Bench had been inducted into the Cincinnati Reds Hall of Fame in 1986 and his uniform #5 was retired by the team | Was Johnny Bench married? | Bench's third marriage, to Elizabeth Benton, took place in 1997, Johnny filed for divorce in 2000 on grounds of one too many people being involved with his wife, while his fourth marriage took place in 2004, to 31-year-old Lauren Baiocchi, the daughter of pro golfer Hugh Baiocchi | I’d like to know about Johnny Bench’s first two marriages. |  ""He was, and is, a great dad,"" according to Bobby, who works in Cincinnati as a production operator on Reds broadcasts | Does Bobby Binger Bench play baseball? |  Bobby said he got some of his height from his mother, Laura, who is tall at 6-foot",Interesting. How old was Bobby Binger Bench when Johnny Bench and Laura Cwikowski got divorced?
229,I saw an online ad for a house with descriptions saying it has a heat pump. What is that?,,I saw an online ad for a house with descriptions saying it has a heat pump. What is that?
230,What are some other choices to heat my home?,"I saw an online ad for a house with descriptions saying it has a heat pump. What is that? |  Numerous AC researchers and managers of utilities—with the exception of one man—have agreed in their conversations with me: A heat pump, in our community, is not cost effective",What are some other choices besides a heat pump to heat my home?
231,What are the pros and cons between a gas furnace and a heat pump?,"I saw an online ad for a house with descriptions saying it has a heat pump. What is that? |  | What are some other choices besides a heat pump to heat my home? |  If you already have an energy efficient way to heat your home, such as a high efficiency gas furnace, then perhaps a heat pump will not yield a high enough return on investment",What are the pros and cons between a gas furnace and a heat pump?
232,A heat pump seems very suitable for my house. How much does it cost to install one?,"I saw an online ad for a house with descriptions saying it has a heat pump. What is that? |  |  |  If you already have an energy efficient way to heat your home, such as a high efficiency gas furnace, then perhaps a heat pump will not yield a high enough return on investment | What are the pros and cons between a gas furnace and a heat pump? |  Even though one might opt for a furnace, purchasing a heat pump might be necessary if the temperatures are soaring high",A heat pump seems very suitable for my house. How much does it cost to install one?
233,Which type is better in terms of efficiency?,"I saw an online ad for a house with descriptions saying it has a heat pump. What is that? |  |  |  | What are the pros and cons between a gas furnace and a heat pump? |  Even though one might opt for a furnace, purchasing a heat pump might be necessary if the temperatures are soaring high | A heat pump seems very suitable for my house. How much does it cost to install one? |  Consider the following factors before installing a heat pump: On This Page: Heat Pump Installation Cost Considerations Heat Pump Prices Types of Heat Pumps How Does a Heat Pump Work? Benefits of a Heat Pump Heat Pump Tax Credits &amp; Rebates Installation Cost Considerations The difficulty associated with the excavation of the ground will affect the installation costs","Which type of heat pump is better in terms of efficiency, a geothermal heat pump or an air-source heat pump?"
